time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-04T18:06:31.907Z,24.4075,141.5249,171.521,4.4,mb,85,98,8.805,0.78,us,us6000iqu0,2022-10-04T18:51:07.040Z,"Volcano Islands, Japan region",earthquake,6.77,6.402,0.064,77,reviewed,us,us
2022-10-04T16:38:33.910Z,32.3381667,-115.2443333,2.83,3.57,ml,26,218,0.09598,0.35,ci,ci40355512,2022-10-05T16:42:09.915Z,"5km WSW of Delta, B.C., MX",earthquake,0.83,0.92,0.186,39,reviewed,ci,ci
2022-10-04T16:30:17.265Z,-24.3828,-67.3424,196.278,4.6,mb,21,102,1.618,0.6,us,us6000iqqs,2022-10-04T17:22:07.040Z,"105 km W of San Antonio de los Cobres, Argentina",earthquake,9.44,9.926,0.273,7,reviewed,us,us
2022-10-04T16:08:40.790Z,51.3766666666667,-178.661333333333,7.66,2.84,ml,9,238,,0.18,av,av91689331,2022-10-05T01:34:41.350Z,"150 km WSW of Adak, Alaska",earthquake,0.78,0.61,0.280036858906095,12,reviewed,av,av
2022-10-04T16:08:39.751Z,51.368,-178.5804,22.573,3,ml,17,200,0.236,0.41,us,us6000iquw,2022-10-04T21:17:04.040Z,"146 km WSW of Adak, Alaska",earthquake,6.21,6.168,0.115,10,reviewed,us,us
2022-10-04T15:51:01.296Z,-27.8511,-66.5644,162.808,4.8,mb,48,55,3.264,0.37,us,us6000iqqe,2022-10-04T16:52:54.040Z,"38 km SW of Andalgalá, Argentina",earthquake,6.68,7.903,0.062,87,reviewed,us,us
2022-10-04T15:49:10.930Z,18.7636666666667,-67.3438333333333,9.5,3.15,md,9,288,,0.25,pr,pr71374823,2022-10-04T16:14:05.510Z,"39 km NW of San Antonio, Puerto Rico",earthquake,1.26,1.09,0.168208925221305,7,reviewed,pr,pr
2022-10-04T15:40:09.930Z,36.1603333,-120.7385,8.51,2.45,md,66,106,0.05411,0.1,nc,nc73789341,2022-10-05T00:31:28.921Z,"22km NE of San Ardo, CA",earthquake,0.24,0.3,0.183,68,reviewed,nc,nc
2022-10-04T15:39:29.856Z,35.3028,-3.6764,10,4.9,mb,59,118,2.359,0.63,us,us6000iqqa,2022-10-04T16:26:30.040Z,"23 km NE of Imzouren, Morocco",earthquake,6.14,1.892,0.057,98,reviewed,us,us
2022-10-04T15:37:18.308Z,35.5394,-3.3958,10,4.2,mb,14,128,2.459,0.33,us,us6000iqq9,2022-10-04T16:41:27.040Z,"49 km WNW of Melilla, Spain",earthquake,7.26,1.977,0.375,2,reviewed,us,us
2022-10-04T14:58:59.364Z,53.7427,-35.2629,10,4.5,mb,55,119,9.222,0.57,us,us6000iqq4,2022-10-04T15:49:28.040Z,"Reykjanes Ridge",earthquake,11.06,1.923,0.083,46,reviewed,us,us
2022-10-04T14:46:13.629Z,59.965,-139.2678,4.5,3,ml,,,,0.66,ak,ak022cqch38y,2022-10-04T15:22:50.040Z,"53 km NNE of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-10-04T14:02:32.943Z,16.9893,147.0659,10,4.6,mb,45,80,14.922,0.97,us,us6000iqpw,2022-10-04T15:07:51.040Z,"241 km NE of Saipan, Northern Mariana Islands",earthquake,12.27,1.89,0.098,34,reviewed,us,us
2022-10-04T13:26:59.680Z,17.9575,-66.9146666666667,10.17,2.7,md,9,203,,0.12,pr,pr71374743,2022-10-04T13:44:45.100Z,"Puerto Rico region",earthquake,0.45,0.4,0.139333026767223,7,reviewed,pr,pr
2022-10-04T13:08:57.097Z,-22.2738,-68.7955,123.413,4.9,mwr,32,45,0.63,0.69,us,us6000iqpf,2022-10-04T14:15:48.865Z,"Antofagasta, Chile",earthquake,2.67,5.383,,,reviewed,us,guc
2022-10-04T12:44:30.383Z,28.9843,102.1878,10,4.6,mb,41,57,7.783,0.7,us,us6000iqpa,2022-10-04T14:23:00.040Z,"115 km S of Kangding, China",earthquake,10.27,1.85,0.111,24,reviewed,us,us
2022-10-04T11:57:17.157Z,59.895,-151.6139,50.5,3.2,ml,,,,0.22,ak,ak022cqar5kz,2022-10-04T20:49:32.568Z,"Kenai Peninsula, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-10-04T11:15:17.220Z,18.3306,-68.925,178,4.05,md,19,175,0.5737,0.51,pr,pr2022277001,2022-10-04T12:06:41.543Z,"Mona Passage",earthquake,3.63,2.26,0.14,11,reviewed,pr,pr
2022-10-04T11:06:09.410Z,18.0068333333333,-66.77,12.49,2.77,md,16,137,,0.14,pr,pr71374718,2022-10-04T11:20:00.220Z,"1 km S of Magas Arriba, Puerto Rico",earthquake,0.33,0.41,0.22211426525866,15,reviewed,pr,pr
2022-10-04T11:01:42.294Z,53.8795,-35.279,10,4.5,mb,74,91,9.102,0.46,us,us6000iqnm,2022-10-04T11:43:28.040Z,"Reykjanes Ridge",earthquake,11.47,1.921,0.058,86,reviewed,us,us
2022-10-04T10:08:40.280Z,18.8945,-67.3406666666667,48.6,3.08,md,22,216,,0.32,pr,pr71374678,2022-10-05T08:38:31.040Z,"Mona Passage",earthquake,1.32,2.57,0.0785113207980879,18,reviewed,pr,pr
2022-10-04T08:37:57.569Z,-17.9745,-178.4409,577.487,4.2,mb,42,68,3.347,0.75,us,us6000iqn4,2022-10-04T13:32:59.040Z,"237 km E of Levuka, Fiji",earthquake,12.65,5.019,0.056,88,reviewed,us,us
2022-10-04T08:30:29.758Z,-10.8965,166.1914,103.742,4.4,mb,32,92,4.629,0.46,us,us6000iqn3,2022-10-04T13:22:12.040Z,"Santa Cruz Islands",earthquake,3.98,9.335,0.067,65,reviewed,us,us
